age_group,outcome,ref_qaly,mean_qaly,lb_95_qaly,ub_95_qaly,ref_costs,mean_costs,lb_95_costs,ub_95_costs
10-14yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,2148.297,1922.939,2416.198
15-24yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,1841.789,1691.072,2018.381
25-34yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,1841.789,1691.072,2018.381
35-44yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,1841.789,1691.072,2018.381
45-55yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,1841.789,1691.072,2018.381
55-64yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,1841.789,1691.072,2018.381
65-74yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,1841.789,1691.072,2018.381
75yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,1841.789,1691.072,2018.381
<1mo,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
1mo,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
2mo,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
3mo,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
4mo,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
5mo,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
6mo,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
7mo,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
8mo,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
9mo,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
10mo,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
11mo,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
1yr,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
2yr,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
3yr,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
4yr,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
5-9yr,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
10-14yr,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
15-24yr,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
25-34yr,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
35-44yr,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
45-55yr,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
55-64yr,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
65-74yr,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
75yr,a_e,,0,NA,NA,NHSNatCosts21,182.28,NA,NA
<1mo,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
1mo,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
2mo,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
3mo,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
4mo,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
5mo,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
6mo,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
7mo,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
8mo,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
9mo,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
10mo,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
11mo,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
1yr,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
2yr,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
3yr,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
4yr,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
5-9yr,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
10-14yr,icu,,0,NA,NA,NHSNatCosts21,2940.085,2771.666,3128.086
15-24yr,icu,,0,NA,NA,NHSNatCosts21,2321.905,2241.851,2395.103
25-34yr,icu,,0,NA,NA,NHSNatCosts21,2321.905,2241.851,2395.103
35-44yr,icu,,0,NA,NA,NHSNatCosts21,2321.905,2241.851,2395.103
45-55yr,icu,,0,NA,NA,NHSNatCosts21,2321.905,2241.851,2395.103
55-64yr,icu,,0,NA,NA,NHSNatCosts22,2321.905,2241.851,2395.103
65-74yr,icu,,0,NA,NA,NHSNatCosts23,2321.905,2241.851,2395.103
75yr,icu,,0,NA,NA,NHSNatCosts24,2321.905,2241.851,2395.103
