age_group,outcome,ref_qaly,mean_qaly,lb_95_qaly,ub_95_qaly,ref_costs,mean_costs,lb_95_costs,ub_95_costs
15-24yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,652.29,585.37,740.31
25-34yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,652.29,585.37,740.31
35-44yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,652.29,585.37,740.31
45-55yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,652.29,585.37,740.31
55-64yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,652.29,585.37,740.31
65-74yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,652.29,585.37,740.31
75yr,hosp,Hodgson2020,0.00299,0.000346,0.011387,NHSNatCosts21,652.29,585.37,740.31
<1mo,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
1mo,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
2mo,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
3mo,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
4mo,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
5mo,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
6mo,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
7mo,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
8mo,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
9mo,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
10mo,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
11mo,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
1yr,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
2yr,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
3yr,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
4yr,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
5-9yr,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
10-14yr,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
15-24yr,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
25-34yr,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
35-44yr,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
45-55yr,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
55-64yr,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
65-74yr,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
75yr,a_e,Hodgson2020,0,,,NHSNatCosts21,289.59,173.41,452.41
<1mo,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
1mo,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
2mo,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
3mo,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
4mo,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
5mo,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
6mo,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
7mo,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
8mo,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
9mo,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
10mo,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
11mo,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
1yr,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
2yr,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
3yr,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
4yr,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
5-9yr,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
10-14yr,icu,Hodgson2020,0,,,NHSNatCosts21,2905.2,2282.8,3862.67
15-24yr,icu,Hodgson2020,0,,,NHSNatCosts21,2324.8,1948.25,2653.25
25-34yr,icu,Hodgson2020,0,,,NHSNatCosts21,2324.8,1948.25,2653.25
35-44yr,icu,Hodgson2020,0,,,NHSNatCosts21,2324.8,1948.25,2653.25
45-55yr,icu,Hodgson2020,0,,,NHSNatCosts21,2324.8,1948.25,2653.25
55-64yr,icu,Hodgson2020,0,,,NHSNatCosts22,2324.8,1948.25,2653.25
65-74yr,icu,Hodgson2020,0,,,NHSNatCosts23,2324.8,1948.25,2653.25
75yr,icu,Hodgson2020,0,,,NHSNatCosts24,2324.8,1948.25,2653.25
